recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
Jan Goldsmith,2008,Jan Goldsmith,Jan Goldsmith,,San Diego City Attorney,
Jim Morrison for City Council,2008,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 2,Support
John Hartley for City Council,2008,John Hartley ,John Hartley for City Council,1298855,San Diego City Council District 3,Support
Lee Burdick for City Attorney,2008,Lee Burdick ,Lee Burdick for City Attorney,1302820,San Diego City Attorney,Support
Lepine for City Attorney,2008,Amy Lepine ,Lepine for City Attorney,1304578,San Diego City Attorney,Support
Lincoln Club of San Diego County,2008,,Lincoln Club of SD County,831561/C00177766,,
Marti Emerald,2008,Marti Emerald ,Marti Emerald ,,San Diego City Council District 7,
Marti Emerald for San Diego,2008,Marti Emerald ,Marti Emerald for San Diego,1301052,San Diego City Council District 7,Support
Marti Emerald for San Diego City Council (1301052),2008,Marti Emerald ,Marti Emerald for San Diego,1301052,San Diego City Council District 7,Support
Mike Aguirre for City Attorney,2008,Mike Aguirre,Mike Aguirre for City Attorney,1254870,San Diego City Attorney,Support
Mitz Lee for City Council,2008,Mitz Lee ,Mitz Lee for City Council,1298853,San Diego City Council District 5,Support
No Committee City Attorney Jan Goldsmith,2008,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 1 - Sherri Lightner,2008,Sherri Lightner,No Committee Dist 1 - Sherri Lightner,,,
No on Proposition C - Neighborhoods for Honest Gov,2008,"C: Amends City Charter relating to chief financial officer, city auditor, independent budget analyst, treasurer and audit committee",No on Proposition C - Neighborhoods for Honest Gov,1305702,,Oppose
Our City Our Responsiblity Sponsored by Neighborhood Market Association,2008,,Our City Our Responsiblity Sponsored by Neighborhood Market Association,1302689,,
Pamela Bensoussan,2008,Pamela Bensoussan,Pamela Bensoussan,,Chula Vista City Council District 3,
Phil Thalheimer for City Council,2008,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Planned Parenthood Action Fund,2008,,Planned Parenthood Action Fund,1249289,,
Re-elect City Attorney Mike Aguirre,2008,Mike Aguirre,Re-elect City Attorney Mike Aguirre,1298515,San Diego City Attorney,Support
Re-Elect Donna Frye for City Council 2006,2008,Donna Frye,Re-Elect Donna Frye for City Council 2006,1283366,San Diego City Council District 6,Support
Re-elect Mayor Sanders,2008,Jerry Sanders,Re-elect Mayor Sanders,1297978,San Diego Mayor,Support
Reform San Diego,2008,,Reform San Diego,1268914,,
Republican Party of San Diego Co.,2008,,Republican Party of San Diego County,741949,,
Republican Party of San Diego County,2008,,Republican Party of San Diego County,741949,,
San Diego County Republican Party,2008,,Republican Party of San Diego County,741949,,
Robert E. Lee for District 3,2008,Robert E. Lee,Robert E. Lee for District 3,,San Diego City Council District 3,
"Safe Beaches San Diego, yes on D Committee",2008,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks","Safe Beaches San Diego, yes on D Committee",1310299,,Support
San Diegans for City Hall Reform,2008,,San Diegans for City Hall Reform,1283641,,
"San Diego City Fire Fighters, Local 145 PAC",2008,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Democratic Party,2008,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2008,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,2008,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
Save Mission Bay Committee - yes on C,2008,C: Amends the charter of the City of San Diego designating the use of lease revenue from Mission Bay Park,Save Mission Bay Committee - yes on C,1308115,,Support
Scott Peters,2008,Scott Peters ,Scott Peters,,San Diego City Attorney,
Scott Peters for City Attorney,2008,Scott Peters ,Scott Peters for City Attorney,1304339,San Diego City Attorney,Support
Sherri Lightner,2008,Sherri Lightner,Sherri Lightner ,,San Diego City Council District 1,
Steve Francis for Mayor,2008,Steve Francis ,Steve Francis for Mayor,1301984,San Diego Mayor,Support
Todd Gloria,2008,Todd Gloria,Todd Gloria,,San Diego City Council District 3,
Todd Gloria for City Council,2008,Todd Gloria,Todd Gloria for City Council,1297982,San Diego City Council District 3,Support
Votepickard.com,2008,,Votepickard.com,1279034,,
"Yes on Propositions A, B & C Committee",2008,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2008,B: Amends Charter to Require Council to Submit Charter Amendments to Voters at June 2010 Election Relating to Strong Mayor Form of Governance,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2008,"C: Amends City Charter relating to chief financial officer, city auditor, independent budget analyst, treasurer and audit committee","Yes on Propositions A, B & C Committee",1305653,,Support
You Empower Our Community,2008,,You Empower Our Community,1309024,,
A Lot of People Who Support Stephen Whitburn,2009,Stephen Whitburn,A Lot of People Who Support Stephen Whitburn,1298544,San Diego City Council District 3,Support
Competition and Transparency in City Contracting,2009,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,,,
April Boling for City Council,2009,April Boling ,April Boling for City Council,1298534,San Diego City Council District 7,Support
Ben Hueso Professional Expense & Legal Defense Fund,2009,Ben Hueso,Ben Hueso Professional Expense & Legal Defense Fund,1314983,,
Brian Maienschein for City Attorney,2009,Brian Maienschein ,Brian Maienschein for City Attorney,1303774,San Diego City Attorney,Support
Brian Maienschein for City Council,2009,Brian Maienschein ,Brian Maienschein for City Council,1235908,San Diego City Council District 5,Support
Carl DeMaio for City Council 2012,2009,Carl DeMaio,Carl DeMaio for City Council 2012,1297980,San Diego City Council District 5,Support
Coalition for Fair Employment in Construction,2009,,Coalition for Fair Employment in Construction,1337381,,
David Alvarez for City Council 2010,2009,David Alvarez,David Alvarez for City Council 2010,1318768,San Diego City Council District 8,Support
Faulconer for Council 2010,2009,Kevin Faulconer,Faulconer for Council 2010,1318781,San Diego City Council District 2,Support
Felipe Hueso for City Council 2010,2009,Felipe Hueso,Felipe Hueso for City Council 2010,1319871,San Diego City Council District 8,Support
Friends of Bob Ilko,2009,Bob Ilko,Friends of Bob Ilko,1299411,San Diego City Council District 5,Support
Friends of Kevin Faulconer,2009,Kevin Faulconer,Friends of Kevin Faulconer,1282704,San Diego City Council District 2,Support
Gentry for City Attorney,2009,William Gentry ,Gentry for City Attorney,1301578,San Diego City Attorney,Support
Howard Wayne for Council 2010,2009,Howard Wayne,Howard Wayne for Council 2010,1318770,San Diego City Council District 6,Support
Howard Wayne for State Senate 2012,2009,Howard Wayne,Howard Wayne for State Senate 2012,1307782,CA Senate District 39,Support
Jim Morrison for City Council,2009,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 2,Support
Lincoln Club of San Diego County,2009,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2009,,Lincoln Club of SD County,831561/C00177766,,
Lorie Zapf for City Council 2010,2009,Lorie Zapf,Lorie Zapf for City Council 2010,1319545,San Diego City Council District 6,Support
Marti Emerald for San Diego,2009,Marti Emerald ,Marti Emerald for San Diego,1301052,San Diego City Council District 7,Support
Neighborhoods for Clean Elections,2009,,Neighborhoods for Clean Elections,1280768,,
Nick Inzunza Sr. for Council 2010,2009,Nick Inzunza Sr. ,Nick Inzunza Sr. for Council 2010,1319122,San Diego City Council District 8,Support
No Committee City Attorney Jan Goldsmith,2009,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 1 - Sherri Lightner,2009,Sherri Lightner,No Committee Dist 1 - Sherri Lightner,,,
Patrick Finucane for City Council 2010,2009,Patrick Finucane ,Patrick Finucane for City Council 2010,1318850,San Diego City Council District 2,Support
Phil Thalheimer for City Council,2009,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Re-elect City Attorney Mike Aguirre,2009,Mike Aguirre,Re-elect City Attorney Mike Aguirre,1298515,San Diego City Attorney,Support
Reform San Diego,2009,,Reform San Diego,1268914,,
Reforming City Hall with Carl Demaio,2009,Carl DeMaio,Reforming City Hall with Carl Demaio,1268914,San Diego City Council District 5,Support
Republican Party of San Diego Co.,2009,,Republican Party of San Diego County,741949,,
Republican Party of San Diego County,2009,,Republican Party of San Diego County,741949,,
San Diego County Republican Party,2009,,Republican Party of San Diego County,741949,,
Ryan Huckabone for City Council 2010,2009,Ryan Huckabone ,Ryan Huckabone for City Council 2010,1320421,San Diego City Council District 6,Support
"Safe Beaches San Diego, yes on D Committee",2009,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks","Safe Beaches San Diego, yes on D Committee",1310299,,Support
San Diegans for Accountability at City Hall Number 'Strong Mayor Initiative' Number TBD,2009,D: Revises the City Charter relating to the strong mayor form of government,"San Diegans for Accountability at City Hall, Yes on D",1322855,,Support
"San Diegans for Accountability at City Hall, Yes on D",2009,D: Revises the City Charter relating to the strong mayor form of government,"San Diegans for Accountability at City Hall, Yes on D",1322855,,Support
San Diegans for Fair and Open City Contracting 'Competition and Transparency in City Contracting ' Number TBD,2009,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,"San Diegans for Fair and Open City Contracting, supported by the construction industry with major funding by The Infrastructure PAC of the Associated General Contractors and Reforming City Hall with Carl DeMaio committees",1322891,,Support
San Diegans for Fair and Open City Contracting (See memo reference for complete committee name),2009,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,"San Diegans for Fair and Open City Contracting, supported by the construction industry with major funding by The Infrastructure PAC of the Associated General Contractors and Reforming City Hall with Carl DeMaio committees",1322891,,Support
"San Diego City Fire Fighters, Local 145 PAC",2009,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Democratic Party,2009,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2009,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego Safe Beaches Coalition A Committee Against Prop D,2009,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks",San Diego Safe Beaches Coalition A Committee Against Prop D,1309244,,Oppose
Steve Francis for Mayor,2009,Steve Francis ,Steve Francis for Mayor,1301984,San Diego Mayor,Support
Steve Hadley for City Council 2010,2009,Steve Hadley,Steve Hadley for City Council 2010,1319024,San Diego City Council District 6,Support
Todd Gloria for City Council,2009,Todd Gloria,Todd Gloria for City Council,1297982,San Diego City Council District 3,Support
Tony Young for City Council 2010,2009,Tony Young ,Tony Young for City Council 2010,1319082,San Diego City Council District 4,Support
"Yes on Propositions A, B & C Committee",2009,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2009,B: Amends Charter to Require Council to Submit Charter Amendments to Voters at June 2010 Election Relating to Strong Mayor Form of Governance,"Yes on Propositions A, B & C Committee",1305653,,Support
"Yes on Propositions A, B & C Committee",2009,"C: Amends City Charter relating to chief financial officer, city auditor, independent budget analyst, treasurer and audit committee","Yes on Propositions A, B & C Committee",1305653,,Support
You Empower Our Community,2009,,You Empower Our Community,1309024,,
Competition & Transparency in City Contracting,2010,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,,,
Competition and Transparency in City Contracting,2010,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,,,
Proposition A,2010,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,,,
April Boling for City Council,2010,April Boling ,April Boling for City Council,1298534,San Diego City Council District 7,Support
Brian 'Barry' Pollard,2010,Brian 'Barry' Pollard,Brian 'Barry' Pollard,1330949,San Diego City Council District 4,Support
Brian Jones,2010,Brian Jones,Brian Jones,,CA Assembly District 77,
Brian Maienschein for City Attorney,2010,Brian Maienschein ,Brian Maienschein for City Attorney,1303774,San Diego City Attorney,Support
Brian Maienschein for City Council,2010,Brian Maienschein ,Brian Maienschein for City Council,1235908,San Diego City Council District 5,Support
California Professional Firefighters IE PAC,2010,,California Professional Firefighters IE PAC,1241835,,
California Republican Party,2010,,California Republican Party,810163,,
Carl DeMaio for City Council 2012,2010,Carl DeMaio,Carl DeMaio for City Council 2012,1297980,San Diego City Council District 5,Support
Coalition for Fair Employment in Construction,2010,,Coalition for Fair Employment in Construction,1337381,,
Crystal Crawford,2010,Crystal Crawford,Crystal Crawford,,CA Assembly District 74,
Mayor-Council form of government,2010,D: Revises the City Charter relating to the strong mayor form of government,D: Revises the City Charter relating to the strong mayor form of government,,,
Yes on D,2010,D: Revises the City Charter relating to the strong mayor form of government,D: Revises the City Charter relating to the strong mayor form of government,,,
David Alvarez,2010,David Alvarez,David Alvarez,,San Diego City Council District 8,
David Alvarez for City Council 2010,2010,David Alvarez,David Alvarez for City Council 2010,1318768,San Diego City Council District 8,Support
Faulconer for Council 2010,2010,Kevin Faulconer,Faulconer for Council 2010,1318781,San Diego City Council District 2,Support
Filipe Hueso,2010,Felipe Hueso,Felipe Hueso,,San Diego City Council District 8,
Filipe Hueso for City Council District 8,2010,Felipe Hueso,Felipe Hueso,,San Diego City Council District 8,
Hueso Filipe,2010,Felipe Hueso,Felipe Hueso,,San Diego City Council District 8,
Felipe Hueso for City Council 2010,2010,Felipe Hueso,Felipe Hueso for City Council 2010,1319871,San Diego City Council District 8,Support
Friends of Bob Ilko,2010,Bob Ilko,Friends of Bob Ilko,1299411,San Diego City Council District 5,Support
Friends of Kevin Faulconer,2010,Kevin Faulconer,Friends of Kevin Faulconer,1282704,San Diego City Council District 2,Support
Gentry for City Attorney,2010,William Gentry ,Gentry for City Attorney,1301578,San Diego City Attorney,Support
Harry Powazek,2010,Harry Powazek,Harry Powazek,,San Diego County Superior Court Judge District 21,
Howard Wayne,2010,Howard Wayne,Howard Wayne,,San Diego City Council District 6,
Howard Wayne for Council 2010,2010,Howard Wayne,Howard Wayne for Council 2010,1318770,San Diego City Council District 6,Support
Howard Wayne for State Senate 2012,2010,Howard Wayne,Howard Wayne for State Senate 2012,1307782,CA Senate District 39,Support
Jim Morrison City Council 2010,2010,Jim Morrison,Jim Morrison City Council 2010,1327333,San Diego City Council District 2,Support
Jim Morrison for City Council,2010,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
Joel Anderson,2010,Joel Anderson,Joel Anderson,,CA Senate District 36,
Joel Wohlfeil,2010,Joel Wohlfeil,Joel Wohlfeil,,San Diego County Superior Court Judge District 34,
Juan Vargas,2010,Juan Vargas,Juan Vargas,,CA Senate District 40,
Kevin Faulconer,2010,Kevin Faulconer,Kevin Faulconer,,San Diego City Council District 2,
Kim Tran for City Council 2010,2010,Kim Tran ,Kim Tran for City Council 2010,1323704,San Diego City Council District 6,Support
Lantz Lewis,2010,Lantz Lewis,Lantz Lewis,,San Diego County Superior Court Judge District 14,
Lincoln Club of San Diego County,2010,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2010,,Lincoln Club of SD County,831561/C00177766,,
Lorie Zapf for City Council 2010,2010,Lorie Zapf,Lorie Zapf for City Council 2010,1319545,San Diego City Council District 6,Support
Mark Wyland,2010,Mark Wyland,Mark Wyland,,CA Senate District 38,
Marti Emerald for San Diego,2010,Marti Emerald ,Marti Emerald for San Diego,1301052,San Diego City Council District 7,Support
Martin Garrick,2010,Martin Garrick,Martin Garrick,,CA Assembly District 74,
Nathan Fletcher,2010,Nathan Fletcher,Nathan Fletcher,,CA Assembly District 75,
Neighborhoods for Clean Elections,2010,,Neighborhoods for Clean Elections,1280768,,
New Car Dealers Association PAC,2010,,New Car Dealers Association PAC,902797,,
Nick Inzunza Sr. for Council 2010,2010,Nick Inzunza Sr. ,Nick Inzunza Sr. for Council 2010,1319122,San Diego City Council District 8,Support
No Committee City Attorney Jan Goldsmith,2010,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
Patrick Finucane for City Council 2010,2010,Patrick Finucane ,Patrick Finucane for City Council 2010,1318850,San Diego City Council District 2,Support
Phil Thalheimer for City Council,2010,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Protect Fire & Police Services Yes on Prop. D,2010,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","Protect fire and police services, Yes on Prop. D, sponsored by San Diego City Fire Fighters Local 145 PAC, San Diego Police Officers Assn. PAC, business leaders, organized labor & concerned taxpayers",1330359,,Support
"Protect fire and police services, Yes on Prop. D, sponsored by San Diego City Fire Fighters Local 145 PAC, San Diego Police Officers Assn. PAC, business leaders, organized labor & concerned taxpayers",2010,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","Protect fire and police services, Yes on Prop. D, sponsored by San Diego City Fire Fighters Local 145 PAC, San Diego Police Officers Assn. PAC, business leaders, organized labor & concerned taxpayers",1330359,,Support
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2010,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Reform San Diego,2010,,Reform San Diego,1268914,,
Reforming City Hall with Carl Demaio,2010,Carl DeMaio,Reforming City Hall with Carl Demaio,1268914,San Diego City Council District 5,Support
Republican Party of San Diego County,2010,,Republican Party of San Diego County,741949,,
Robert C. Longstreth,2010,Robert C. Longstreth,Robert C. Longstreth,,San Diego County Superior Court Judge District 21,
Ryan Huckabone for City Council 2010,2010,Ryan Huckabone ,Ryan Huckabone for City Council 2010,1320421,San Diego City Council District 6,Support
"Safe Beaches San Diego, yes on D Committee",2010,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks","Safe Beaches San Diego, yes on D Committee",1310299,,Support
San Diegans Against Gov't Waste- No on D,2010,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","San Diegans Against Government Waste - No On D, Sponsored by the Lincoln Club of San Diego County and the San Diego Restaurant and Beverage Political Action Committee",1329881,,Oppose
"San Diegans Against Government Waste - No On D, Sponsored by the Lincoln Club of San Diego County and the San Diego Restaurant and Beverage Political Action Committee",2010,"D: If financial reform conditions are met, authorizes temporary one-half cent sales tax","San Diegans Against Government Waste - No On D, Sponsored by the Lincoln Club of San Diego County and the San Diego Restaurant and Beverage Political Action Committee",1329881,,Oppose
"San Diegans for Accountability at City Hall, Yes on D",2010,D: Revises the City Charter relating to the strong mayor form of government,"San Diegans for Accountability at City Hall, Yes on D",1322855,,Support
San Diegans for Fair and Open City Contracting (See memo reference for complete committee name),2010,A: Proposed San Diego County Charter amendment to ensure fair and open competition for county construction contracts.,"San Diegans for Fair and Open City Contracting, supported by the construction industry with major funding by The Infrastructure PAC of the Associated General Contractors and Reforming City Hall with Carl DeMaio committees",1322891,,Support
San diegans for Great Schools with major funding provided by CAC Advisory Services LLC & Irwin Jacobs,2010,,San diegans for Great Schools with major funding provided by CAC Advisory Services LLC & Irwin Jacobs,1331139,,
San Diegans for Healthy Neighborhoods and a Strong Economy to Support Felipe Hueso for City Council - 2010,2010,Felipe Hueso,San Diegans for Healthy Neighborhoods and a Strong Economy to Support Felipe Hueso for City Council - 2010,1326995,San Diego City Council District 8,Support
"San Diego City Fire Fighters, Local 145 PAC",2010,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",2010,,"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",1299425,,
San Diego County Democratic Party,2010,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2010,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2010,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
San Diego Safe Beaches Coalition A Committee Against Prop D,2010,"D: Making alcohol consumption unlawful at City beaches, Mission Bay Park, and coastal parks",San Diego Safe Beaches Coalition A Committee Against Prop D,1309244,,Oppose
Steve Cooley,2010,Steve Cooley,Steve Cooley,,CA Attorney General,
